Hora,Noroeste Ozono,Noroeste diÌ_xido de azufre,Noroeste diÌ_xido de nitrÌ_geno,Noroeste monÌ_xido de carbono,Noroeste PM10,Noreste diÌ_xido de azufre,Noreste diÌ_xido de nitrÌ_geno,Noreste monÌ_xido de carbono,Noreste PM10,Noreste Ozono
6,12,5,19,5,70,5,25,8,81,11
7,4,5,25,5,70,5,27,8,81,16
8,1,5,28,7,70,4,29,10,78,6
9,3,5,31,9,73,4,28,11,78,13
10,15,5,30,11,76,4,27,12,78,21
11,29,5,27,12,80,4,19,12,78,41
12,53,4,22,13,83,4,20,13,77,76
13,109,4,18,14,84,3,8,11,76,104
14,122,4,13,14,88,3,6,10,76,112
15,123,4,17,13,87,4,9,10,76,109
16,124,5,18,11,87,5,10,9,77,107
17,120,7,25,9,87,8,21,7,80,84
18,101,8,25,7,93,10,22,7,81,49
19,78,8,29,6,94,12,24,7,81,44
20,49,9,21,6,91,12,12,7,84,46
21,41,9,19,6,93,12,13,7,86,48
22,41,9,15,6,93,12,12,6,86,42
23,36,9,19,6,90,11,13,7,86,41
24,26,9,25,6,88,11,13,7,86,38
1,25,9,24,6,90,11,20,7,87,34
2,20,9,26,6,90,11,26,6,87,25
3,23,9,21,5,90,11,22,6,88,24
4,16,9,23,5,91,11,21,6,91,16
5,10,9,20,5,93,11,24,6,94,21
6,4,9,19,6,94,11,24,7,97,5
7,1,9,19,7,94,12,24,10,99,2
8,4,9,20,9,94,12,25,11,101,1
9,11,9,25,10,96,12,25,12,102,8
10,15,10,34,11,96,12,26,13,103,16
11,31,10,40,12,99,11,27,14,103,31
12,46,10,40,13,100,11,20,15,105,49
13,84,10,29,13,102,10,16,15,105,98
14,109,10,23,13,102,10,12,14,105,110
15,118,10,14,13,103,10,9,13,105,119
16,126,9,13,11,103,9,7,11,105,120
17,129,6,12,10,103,6,10,10,105,120
18,117,5,17,8,102,5,13,9,105,101
19,103,5,20,7,102,4,19,8,105,92
20,38,5,25,7,103,3,15,7,105,44
21,36,5,22,6,103,3,14,7,105,38
22,39,5,22,5,103,3,20,7,105,31
23,41,5,23,5,103,3,29,7,105,31
24,40,4,16,6,103,3,19,8,106,35
1,40,4,12,6,103,5,18,8,106,31
2,34,5,21,6,103,7,18,8,106,25
3,26,5,25,5,102,8,18,8,106,18
4,16,5,23,5,102,10,16,8,105,21
5,8,6,21,5,102,12,22,8,105,17
6,5,7,24,6,102,12,23,7,105,7
7,1,8,23,6,103,12,24,8,105,2
8,1,8,23,7,103,13,20,9,106,1
9,4,8,28,8,103,14,23,11,106,5
10,16,8,34,9,103,15,28,13,107,12
11,29,8,35,11,103,15,30,14,107,26
12,45,8,27,11,103,15,27,15,108,47
13,67,8,18,11,102,15,17,15,108,84
14,82,8,16,11,102,15,11,14,108,82
15,100,8,13,10,102,15,10,13,108,100
16,96,8,12,9,102,15,9,12,108,104
17,80,8,10,7,101,15,10,9,107,103
18,71,8,15,6,101,16,10,8,107,88
19,44,8,13,5,101,16,15,7,107,57
20,38,8,16,5,100,16,24,8,107,39
21,34,8,21,5,97,16,15,7,107,40
22,39,8,17,5,94,16,14,7,107,39
23,24,8,21,5,93,16,16,6,107,27
24,19,8,18,5,93,16,20,7,107,27
1,16,8,21,5,93,14,24,7,107,19
2,,8,,5,93,12,,7,107,
3,,8,,6,94,12,,7,107,
4,,7,,,94,9,,,107,
5,21,6,18,,91,8,23,,107,4
6,7,6,23,,90,7,23,,107,2
7,7,5,24,,86,7,21,,108,1
8,1,5,25,,84,6,22,,107,2
9,3,5,30,,83,5,22,,107,4
10,13,5,38,13,81,5,38,15,107,15
11,34,5,38,13,80,5,33,16,107,39
12,48,5,22,12,78,5,23,15,106,57
13,76,5,18,13,77,5,14,15,106,104
14,98,5,11,13,76,5,9,15,106,84
15,92,5,10,12,76,5,10,14,106,84
16,90,5,10,9,74,5,9,11,106,101
17,88,6,8,7,80,5,9,9,106,105
18,78,6,11,5,80,5,10,8,106,76
19,45,6,16,5,78,5,13,7,106,39
20,39,5,14,5,83,5,13,6,107,38
21,34,6,16,5,91,5,15,6,107,30
22,27,7,14,5,93,5,15,6,106,29
23,31,7,11,5,91,5,14,6,106,32
24,35,7,11,4,90,5,19,6,106,27
1,22,6,17,5,88,5,22,7,105,22
2,16,6,21,5,86,5,20,7,105,20
3,13,6,24,5,87,5,16,7,105,21
4,7,5,21,5,86,5,20,7,104,18
5,4,5,18,5,87,5,16,7,104,9
6,2,5,16,5,87,4,20,8,104,4
7,1,5,20,6,84,4,20,10,103,1
8,1,5,22,7,84,4,20,11,103,1
9,3,5,26,10,80,4,24,14,103,4
10,11,5,29,11,77,4,32,15,103,16
11,24,5,31,11,74,4,29,16,103,33
12,42,5,20,11,77,3,20,16,103,46
13,80,5,21,11,77,3,17,16,103,96
14,117,5,15,11,77,3,13,16,103,109
15,126,4,13,10,78,3,10,15,103,109
16,131,4,13,9,80,3,9,11,103,118
17,134,4,15,7,81,3,10,9,103,115
18,117,4,19,6,80,4,15,8,103,109
19,48,4,18,5,86,3,12,7,102,38
20,27,4,23,5,87,3,17,7,101,31
21,19,4,28,5,78,3,25,7,101,33
22,21,4,29,6,78,3,20,7,101,28
23,29,4,22,6,80,3,21,7,102,24
24,31,4,12,6,80,3,16,7,102,29
1,29,4,13,5,78,3,16,7,102,24
2,19,4,17,5,77,4,20,7,102,19
3,17,5,20,5,77,4,17,7,101,21
4,16,5,21,5,77,4,18,7,102,23
5,11,5,21,4,77,4,21,7,101,24
6,5,5,20,4,77,4,21,7,101,11
7,11,5,20,5,77,4,23,7,100,9
8,9,5,19,5,74,4,21,7,99,5
9,5,4,20,6,73,4,23,8,93,8
10,23,4,20,7,71,4,23,9,91,22
11,34,4,22,7,67,4,21,10,88,31
12,43,3,17,7,64,4,20,10,87,44
13,61,3,12,8,64,4,15,10,87,73
14,94,3,11,8,63,4,11,9,87,104
15,119,3,10,7,61,4,10,9,87,106
16,116,3,10,6,61,3,8,8,87,110
17,104,3,11,6,63,3,7,7,86,100
18,47,3,9,5,63,3,7,6,86,49
19,44,3,11,5,63,3,13,6,86,43
20,41,2,11,5,63,3,16,6,84,45
21,34,2,17,5,60,3,18,6,84,46
22,38,2,19,5,58,3,14,6,86,46
23,35,2,18,5,57,3,15,7,86,43
24,22,3,12,5,55,3,20,7,87,24
1,21,4,12,5,57,3,22,7,90,16
2,14,4,17,5,58,3,20,8,91,10
3,11,4,19,6,60,3,24,8,93,14
4,9,4,19,6,60,3,20,8,94,28
5,13,4,20,6,61,3,13,8,94,28
6,16,5,15,6,63,3,11,8,94,27
7,11,5,17,6,63,3,14,8,93,17
8,10,5,16,6,63,3,20,8,91,11
9,14,5,16,6,63,3,20,9,87,15
